id,compartments,species,reactions,parameters,events,rules,function_definitions,time,bytes,gctime,gcstats,filesize
MODEL1006230064,1,0,0,58,0,30,0,0.023076444,653224,0.0,"Base.GC_Diff(653224, 3, 0, 15236, 21, 0, 0, 0, 0)",22755
MODEL0911270005,1,0,0,56,0,25,0,0.023535868,950608,0.0,"Base.GC_Diff(950608, 3, 0, 26990, 21, 0, 0, 0, 0)",21845
MODEL0995500644,1,12,13,41,0,0,0,0.020156989,473480,0.0,"Base.GC_Diff(473480, 1, 0, 10989, 17, 0, 0, 0, 0)",21759
MODEL1704110000,1,11,17,17,0,0,0,0.012248352,413496,0.0,"Base.GC_Diff(413496, 1, 0, 10496, 15, 0, 0, 0, 0)",21602
MODEL1704110002,1,13,17,17,0,0,0,0.012860312,2485141,0.0,"Base.GC_Diff(2485141, 3, 0, 49635, 34, 0, 0, 0, 0)",21559
MODEL0913003363,1,0,0,32,0,11,0,0.033698392,797419,0.0,"Base.GC_Diff(797419, 0, 0, 14851, 16, 0, 0, 0, 0)",21437
MODEL1006230033,1,0,0,37,0,17,0,0.016803861,429800,0.0,"Base.GC_Diff(429800, 1, 0, 9159, 12, 0, 0, 0, 0)",21242
MODEL1705170000,4,12,16,15,0,0,0,0.012443748,1192265,0.0,"Base.GC_Diff(1192265, 2, 0, 28669, 14, 0, 0, 0, 0)",21234
MODEL0912096133,1,0,0,42,0,9,0,0.032640419,2433053,0.0,"Base.GC_Diff(2433053, 4, 0, 50412, 36, 0, 0, 0, 0)",20839
MODEL7891585309,1,0,0,49,0,16,0,0.025659006,1092760,0.0,"Base.GC_Diff(1092760, 3, 0, 22895, 15, 0, 0, 0, 0)",20603
MODEL0911989198,1,0,0,40,0,12,0,0.019845654,258080,0.0,"Base.GC_Diff(258080, 0, 0, 6602, 7, 0, 0, 0, 0)",20134
MODEL1006230081,1,0,0,34,0,16,0,0.015882446,397672,0.0,"Base.GC_Diff(397672, 1, 0, 10168, 10, 0, 0, 0, 0)",19802
BIOMD0000000456,1,11,6,12,0,0,0,0.023515818,1115136,0.0,"Base.GC_Diff(1115136, 3, 0, 37470, 16, 0, 0, 0, 0)",19677
BIOMD0000000138,1,1,1,40,0,15,0,0.027147613,1287841,0.0,"Base.GC_Diff(1287841, 2, 0, 28460, 22, 0, 0, 0, 0)",19642
BIOMD0000000670,1,3,0,8,0,3,0,0.013529263,62184,0.0,"Base.GC_Diff(62184, 0, 0, 1438, 3, 0, 0, 0, 0)",19623
MODEL8262229752,1,21,25,25,0,0,0,0.016308408,655264,0.0,"Base.GC_Diff(655264, 1, 0, 13607, 16, 0, 0, 0, 0)",19540
MODEL7909395757,1,0,0,35,0,21,0,0.029136303,2434625,0.0,"Base.GC_Diff(2434625, 4, 0, 45069, 41, 0, 0, 0, 0)",19384
BIOMD0000000519,1,3,7,13,0,5,0,0.018712882,285152,0.0,"Base.GC_Diff(285152, 0, 0, 6925, 8, 0, 0, 0, 0)",19381
MODEL1006230116,1,0,0,35,0,17,0,0.015165218,92440,0.0,"Base.GC_Diff(92440, 0, 0, 2870, 4, 0, 0, 0, 0)",19057
MODEL1012140001,1,3,0,14,0,3,0,0.019041568,582248,0.0,"Base.GC_Diff(582248, 2, 0, 19849, 12, 0, 0, 0, 0)",18955
MODEL8938094216,1,15,16,16,0,2,0,0.016323158,354712,0.0,"Base.GC_Diff(354712, 0, 0, 8514, 8, 0, 0, 0, 0)",18641
MODEL0848507209,1,0,0,12,0,6,0,0.015133278,83464,0.0,"Base.GC_Diff(83464, 0, 0, 2599, 3, 0, 0, 0, 0)",18556
BIOMD0000000520,1,3,7,12,0,1,0,0.019044228,272384,0.0,"Base.GC_Diff(272384, 1, 0, 7784, 8, 0, 0, 0, 0)",18544
MODEL0491251823,1,0,0,35,0,15,0,0.033998637,826144,0.0,"Base.GC_Diff(826144, 2, 0, 26253, 11, 0, 0, 0, 0)",18419
MODEL0911270007,1,0,0,43,0,25,0,0.02863515,1685072,0.0,"Base.GC_Diff(1685072, 5, 0, 45082, 25, 0, 0, 0, 0)",18324
BIOMD0000000455,1,9,5,10,0,0,0,0.021907333,731264,0.0,"Base.GC_Diff(731264, 2, 0, 24651, 13, 0, 0, 0, 0)",18315
